               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099443,            0.028037,             0.10055,                   0,                   0,                   0,                   0,            0.076651,            0.013515,            0.082821,             0.07037,           0.0032922,           0.0032922
                   1,            0.088985,            0.025222,            0.086557,          0.00086472,             0.03613,          0.00075652,          0.00042615,             0.07085,           0.0088934,            0.076383,            0.040357,           0.0066124,           0.0066124
                   2,            0.083604,            0.024002,            0.060815,          7.0073e-06,           0.0017668,          3.7297e-06,          8.1186e-07,             0.08174,           0.0081713,             0.10046,            0.010331,           0.0099194,           0.0099194
                   3,            0.079667,            0.024229,            0.054536,          0.00088952,            0.010177,          0.00077942,          0.00020339,            0.064438,            0.010893,            0.063889,           0.0099406,           0.0099406,           0.0099406
                   4,            0.073361,            0.024444,            0.051564,           0.0016958,            0.095344,           0.0035268,          0.00090383,            0.066763,           0.0096805,            0.071409,           0.0099406,           0.0099406,           0.0099406
                   5,            0.067772,            0.024825,            0.048754,           0.0026847,              0.1942,           0.0096504,           0.0033737,            0.062516,            0.011574,             0.06497,           0.0099208,           0.0099208,           0.0099208
                   6,            0.063313,            0.023193,            0.047652,           0.0026211,            0.088185,           0.0079414,           0.0039651,            0.063064,           0.0096569,            0.069866,            0.009901,            0.009901,            0.009901
                   7,            0.060737,            0.022166,            0.047497,            0.010933,             0.25771,            0.029078,            0.010597,            0.054514,           0.0099682,            0.062553,           0.0098812,           0.0098812,           0.0098812
                   8,            0.058108,            0.021362,             0.04452,             0.61063,            0.077517,            0.048305,            0.023322,            0.048862,           0.0074142,            0.064735,           0.0098614,           0.0098614,           0.0098614
                   9,            0.057239,            0.020343,            0.042989,            0.010328,             0.63606,            0.054248,            0.023895,            0.053924,           0.0073801,            0.063977,           0.0098416,           0.0098416,           0.0098416
                  10,            0.054932,            0.019507,            0.041562,              0.7046,            0.055251,             0.06365,            0.033179,            0.049024,           0.0074941,             0.05703,           0.0098218,           0.0098218,           0.0098218
                  11,            0.054175,            0.018997,            0.042293,              0.5847,            0.089461,            0.096747,            0.050001,            0.043635,           0.0068804,             0.05646,            0.009802,            0.009802,            0.009802
                  12,            0.052778,            0.018683,            0.041546,             0.56913,             0.14977,             0.10814,            0.051248,            0.044402,           0.0070954,            0.049067,           0.0097822,           0.0097822,           0.0097822
                  13,            0.051523,            0.018697,            0.040988,             0.64153,            0.085375,            0.091635,            0.043778,            0.052017,           0.0073384,            0.054003,           0.0097624,           0.0097624,           0.0097624
                  14,            0.051636,            0.018248,            0.038782,             0.62009,             0.14729,             0.12742,            0.061263,             0.04412,           0.0064688,             0.05877,           0.0097426,           0.0097426,           0.0097426
                  15,            0.050596,            0.018054,            0.040326,             0.62251,             0.12756,             0.11664,            0.055103,            0.049011,           0.0064905,            0.052316,           0.0097228,           0.0097228,           0.0097228
                  16,            0.050254,            0.018197,            0.037687,             0.59662,             0.11493,             0.10314,             0.05305,            0.049587,           0.0066229,             0.05189,            0.009703,            0.009703,            0.009703
